G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
80,9,21.1,3.4,7.2,.464,0.9,2.9,.297,2.5,4.4,.575,.523,1.9,2.4,.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4
31,0,9.8,1.6,4.5,.348,0.5,1.6,.347,1.0,3.0,.348,.408,0.9,1.0,.871,0.7,1.0,1.7,0.8,0.2,0.0,0.5,0.9,4.6
62,45,22.7,2.4,5.6,.423,1.3,3.4,.390,1.1,2.3,.471,.540,0.3,0.3,.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4
55,7,10.0,1.3,2.2,.585,0.0,0.0,0,1.3,2.2,.585,.585,0.3,0.5,.655,1.2,2.2,3.4,0.5,0.2,0.6,0.6,1.1,3.0
42,1,12.8,1.9,4.5,.431,0.6,2.1,.310,1.3,2.4,.535,.503,0.5,0.8,.656,0.5,1.2,1.7,0.9,0.2,0.1,0.4,1.1,5.0
82,82,34.8,5.6,10.5,.534,1.4,3.8,.369,4.2,6.7,.628,.601,1.6,1.9,.834,0.9,3.3,4.2,2.3,1.2,0.4,0.8,1.8,14.2
80,80,35.5,7.5,15.2,.491,1.9,5.8,.331,5.5,9.4,.590,.554,3.3,4.2,.802,1.1,5.9,7.0,3.8,0.9,0.8,1.9,2.4,20.2
67,25,23.3,3.1,7.6,.411,1.2,3.5,.350,1.9,4.0,.465,.493,1.7,2.4,.695,1.6,3.7,5.3,1.1,0.7,0.4,0.8,1.7,9.1
36,36,33.5,6.8,15.1,.448,1.6,5.2,.312,5.1,9.9,.518,.501,4.0,4.6,.856,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2.0,19.1
41,8,16.8,2.1,6.1,.347,1.6,5.2,.300,0.6,0.9,.605,.474,0.4,0.5,.842,0.3,1.7,2.0,1.2,0.5,0.2,0.6,1.5,6.2
13,3,11.8,0.8,2.9,.289,0.8,2.8,.278,0.1,0.2,.500,.421,0.2,0.2,1.000,0.6,1.1,1.7,1.0,0.5,0.2,0.3,1.1,2.6
32,31,27.7,7.1,16.4,.432,1.4,4.7,.309,5.7,11.8,.480,.475,2.8,3.3,.849,0.9,2.3,3.2,2.8,1.1,0.3,1.6,3.3,18.4
72,45,24.6,3.6,7.0,.506,0.5,1.3,.404,3.0,5.7,.529,.543,1.3,1.8,.758,1.4,3.4,4.8,2.1,1.1,0.7,0.8,2.4,9.0
22,2,8.1,0.5,1.8,.256,0.0,0.5,.083,0.4,1.2,.333,.269,0.4,0.5,.900,0.6,0.8,1.5,0.3,0.5,0.2,0.2,0.8,1.4
3,0,5.0,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.0,0.0,0,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.7,0.7
19,2,8.5,0.5,1.8,.265,0.1,0.5,.111,0.4,1.3,.320,.279,0.5,0.5,.900,0.7,0.9,1.6,0.3,0.4,0.2,0.3,0.8,1.5
2,0,10.5,0.5,3.5,.143,0.0,1.5,.000,0.5,2.0,.250,.143,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0
3,2,27.7,3.0,8.3,.360,2.0,5.0,.400,1.0,3.3,.300,.480,1.7,2.0,.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7
48,6,13.3,1.7,4.0,.426,0.4,1.3,.311,1.3,2.7,.481,.476,0.9,1.4,.677,0.8,2.0,2.8,0.7,0.5,0.5,0.8,1.9,4.7
66,66,33.6,8.7,18.4,.473,2.5,7.0,.358,6.2,11.4,.544,.541,3.7,4.8,.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6
40,6,8.6,1.6,2.7,.593,0.0,0.0,0,1.6,2.7,.593,.593,1.1,1.8,.597,1.0,2.4,3.4,0.0,0.2,0.4,0.5,1.3,4.3
26,1,6.5,1.0,1.9,.540,0.0,0.0,0,1.0,1.9,.540,.540,1.0,1.7,.628,0.6,1.7,2.3,0.0,0.1,0.3,0.5,1.1,3.1
14,5,12.6,2.6,4.1,.638,0.0,0.0,0,2.6,4.1,.638,.638,1.1,2.1,.552,1.6,3.6,5.3,0.0,0.3,0.5,0.4,1.8,6.4
49,3,12.8,1.2,3.2,.381,0.6,1.9,.304,0.6,1.3,.492,.471,0.3,0.3,.933,0.5,2.5,3.0,0.7,0.3,0.1,0.5,1.1,3.3
66,7,16.0,1.6,3.9,.419,0.7,2.0,.353,0.9,1.9,.488,.510,0.3,0.4,.769,0.6,2.5,3.1,1.0,0.5,0.1,0.4,0.9,4.3
79,61,31.9,6.4,12.8,.502,1.2,3.2,.373,5.2,9.6,.545,.549,2.3,2.7,.840,0.5,3.4,3.9,4.8,0.8,0.0,1.6,1.9,16.3
27,9,16.3,2.9,5.5,.520,0.4,1.6,.286,2.4,3.9,.613,.561,1.3,1.5,.875,1.0,3.0,4.0,0.9,0.2,0.8,0.7,1.6,7.4
2,0,5.0,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0
68,37,28.0,3.0,7.4,.401,2.1,5.8,.360,0.9,1.6,.550,.542,0.6,0.7,.833,0.5,3.1,3.5,1.2,0.6,0.2,0.6,1.6,8.6
42,0,10.5,2.0,5.1,.391,0.6,2.0,.317,1.4,3.2,.436,.451,0.5,0.5,.870,0.1,0.7,0.8,1.4,0.3,0.0,0.6,0.9,5.1
81,44,28.6,3.5,9.0,.391,1.9,4.8,.404,1.6,4.2,.378,.499,2.7,3.3,.822,0.6,4.3,4.9,3.0,1.0,0.3,1.1,2.7,11.7
42,1,8.6,1.5,3.6,.404,0.7,2.1,.318,0.8,1.5,.524,.497,0.3,0.4,.688,0.1,1.0,1.1,1.5,0.4,0.2,0.8,1.1,3.8
57,57,33.9,7.0,14.5,.480,0.5,2.0,.233,6.5,12.5,.520,.496,6.9,8.0,.870,1.8,4.1,5.9,5.5,1.6,0.5,2.1,1.5,21.4
15,0,8.1,1.4,2.1,.677,0.0,0.0,0,1.4,2.1,.677,.677,0.3,0.5,.571,0.5,2.3,2.8,0.4,0.5,0.5,0.2,1.1,3.1
77,77,30.2,4.7,10.8,.435,2.1,5.3,.390,2.6,5.5,.480,.531,1.8,2.0,.890,0.5,2.9,3.4,1.9,1.1,0.3,1.3,1.8,13.2
65,4,18.2,1.6,4.6,.361,0.9,3.0,.301,0.8,1.6,.476,.459,0.9,1.2,.769,0.4,1.4,1.8,3.4,1.0,0.4,1.0,1.9,5.1
15,1,11.7,1.5,2.7,.561,0.5,0.8,.583,1.1,1.9,.552,.646,0.6,0.9,.643,0.5,1.5,2.1,1.1,0.1,0.2,0.6,1.2,4.1
5,0,29.0,3.0,8.8,.341,3.0,7.4,.405,0.0,1.4,.000,.511,1.0,1.4,.714,0.2,1.0,1.2,2.0,1.0,0.6,1.0,1.8,10.0
74,73,27.6,5.0,8.2,.613,0.0,0.0,.000,5.0,8.1,.614,.613,1.1,2.3,.473,3.8,8.1,11.9,1.2,0.7,1.3,0.6,2.2,11.1
7,1,6.3,1.0,1.9,.538,0.0,0.0,0,1.0,1.9,.538,.538,0.9,1.9,.462,1.1,0.6,1.7,0.0,0.3,0.1,0.4,0.6,2.9
4,1,4.3,0.8,1.5,.500,0.0,0.0,0,0.8,1.5,.500,.500,0.5,0.8,.667,0.8,0.5,1.3,0.0,0.3,0.0,0.3,0.3,2.0
3,0,9.0,1.3,2.3,.571,0.0,0.0,0,1.3,2.3,.571,.571,1.3,3.3,.400,1.7,0.7,2.3,0.0,0.3,0.3,0.7,1.0,4.0
66,3,13.7,1.5,3.8,.387,1.0,2.6,.388,0.5,1.3,.386,.518,0.2,0.3,.833,0.2,1.5,1.7,1.5,0.4,0.2,0.5,1.0,4.2
46,1,12.0,1.3,3.8,.333,0.9,2.8,.331,0.3,1.0,.340,.454,0.2,0.2,.700,0.2,1.3,1.5,1.0,0.3,0.2,0.6,1.0,3.6
20,2,17.7,2.0,4.0,.506,1.2,2.2,.558,0.8,1.8,.444,.658,0.4,0.4,1.000,0.3,1.9,2.2,2.5,0.5,0.2,0.4,1.1,5.6
62,61,29.9,5.8,11.0,.525,1.1,3.5,.327,4.7,7.6,.615,.576,2.3,3.3,.691,2.2,8.2,10.5,2.8,0.6,0.7,1.9,2.7,15.0
41,18,28.0,2.5,6.2,.398,1.0,3.1,.333,1.5,3.2,.462,.480,1.4,1.8,.795,0.8,2.8,3.6,4.0,1.7,0.4,1.4,2.6,7.4
20,2,9.2,0.8,1.8,.457,0.1,0.1,.500,0.8,1.7,.455,.471,0.1,0.1,.500,0.7,1.4,2.0,0.5,0.3,0.2,0.4,1.0,1.7
18,2,9.8,0.9,1.9,.457,0.1,0.1,.500,0.8,1.8,.455,.471,0.1,0.1,.500,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
2,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0
1,0,1.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
36,0,7.8,0.9,1.9,.463,0.3,0.8,.357,0.6,1.1,.538,.537,0.3,0.3,1.000,1.0,1.0,2.0,0.3,0.2,0.1,0.2,0.9,2.3
1,0,5.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,10.9,0.7,2.4,.296,0.5,1.6,.321,0.2,0.8,.250,.401,0.1,0.1,.667,0.3,0.8,1.1,1.9,0.4,0.0,0.9,0.9,2.0
34,0,10.2,1.8,3.9,.463,0.2,0.7,.320,1.6,3.2,.495,.493,0.6,1.0,.667,1.0,2.1,3.0,0.5,0.4,0.4,0.5,1.9,4.5
74,2,18.0,3.0,6.8,.448,0.8,2.6,.296,2.3,4.2,.540,.504,1.1,1.5,.735,0.7,1.8,2.5,2.0,0.9,0.2,1.5,1.3,7.9
38,1,9.9,0.9,2.3,.375,0.7,1.8,.400,0.1,0.5,.278,.534,0.2,0.3,.700,0.6,1.8,2.4,0.5,0.3,0.2,0.3,0.5,2.7
64,1,19.5,4.5,7.0,.644,0.1,0.3,.227,4.4,6.6,.666,.650,1.3,2.0,.654,2.1,3.2,5.3,1.3,0.6,1.1,0.5,1.9,10.4
79,1,27.1,5.9,14.1,.419,2.4,7.6,.318,3.5,6.5,.535,.504,1.8,2.2,.828,0.8,2.6,3.5,2.5,0.8,0.2,1.6,1.9,16.0
47,19,20.7,3.8,5.6,.674,0.0,0.0,0,3.8,5.6,.674,.674,1.1,2.0,.581,1.9,3.7,5.6,0.9,0.5,1.1,0.8,2.3,8.7
69,30,22.7,3.1,6.8,.453,1.4,3.7,.378,1.7,3.1,.542,.556,1.5,1.7,.863,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9.0
54,53,30.8,6.3,11.9,.526,1.2,3.3,.364,5.1,8.7,.588,.576,2.5,3.1,.793,1.7,6.1,7.8,1.8,0.6,1.0,1.1,3.0,16.2
28,4,17.9,2.7,5.5,.490,0.5,1.5,.341,2.2,4.1,.544,.535,1.9,2.3,.800,1.6,3.8,5.5,2.2,0.5,0.8,1.6,2.4,7.8
3,0,12.3,0.7,2.3,.286,0.0,1.0,.000,0.7,1.3,.500,.286,0.0,0.0,0,0.0,1.3,1.3,0.7,0.3,0.0,0.3,1.7,1.3
72,72,28.6,4.8,11.0,.435,2.3,5.8,.408,2.4,5.2,.464,.542,1.8,2.3,.796,0.7,2.4,3.0,5.3,1.3,0.3,1.7,2.0,13.7
65,19,26.0,3.5,7.6,.458,2.2,5.7,.395,1.2,1.9,.643,.605,0.7,0.8,.833,0.7,3.5,4.2,1.3,0.9,0.2,0.5,1.3,9.9
20,2,10.0,1.2,1.9,.605,0.0,0.0,0,1.2,1.9,.605,.605,1.1,1.6,.656,0.8,1.9,2.7,0.2,0.2,0.2,0.4,1.4,3.4
13,0,3.0,0.2,1.1,.214,0.1,0.5,.167,0.2,0.6,.250,.250,0.0,0.0,0,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.1,0.5
13,0,2.9,0.4,1.2,.333,0.1,0.6,.125,0.3,0.5,.571,.367,0.2,0.3,.750,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0.5,1.1
48,7,14.9,3.1,6.8,.460,0.8,2.5,.303,2.3,4.2,.554,.517,2.0,2.6,.760,1.5,4.1,5.6,1.5,0.7,0.4,1.8,2.9,9.0
17,5,16.9,3.2,6.9,.466,0.8,2.8,.271,2.5,4.1,.600,.521,1.8,2.2,.816,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,9.1
31,2,13.9,3.0,6.6,.456,0.8,2.4,.324,2.3,4.3,.530,.515,2.1,2.8,.736,1.6,3.9,5.5,1.7,0.6,0.4,2.2,3.0,8.9
71,42,27.3,2.9,7.0,.420,1.8,4.8,.378,1.1,2.2,.509,.548,0.8,1.0,.841,0.8,4.7,5.5,1.3,1.5,1.3,1.1,2.7,8.5
48,40,29.8,2.7,7.0,.381,1.6,4.8,.343,1.0,2.2,.462,.499,0.6,0.8,.833,0.9,4.9,5.7,1.4,1.5,1.3,1.2,2.8,7.6
23,2,22.1,3.5,7.0,.500,2.1,4.7,.450,1.4,2.3,.604,.651,1.2,1.4,.848,0.8,4.3,5.1,1.0,1.3,1.2,0.7,2.5,10.4
78,16,20.5,2.6,5.7,.454,1.0,3.0,.329,1.6,2.7,.594,.541,0.5,0.7,.750,1.1,2.9,4.0,1.2,0.6,0.5,0.9,1.9,6.6
51,14,20.3,2.5,5.5,.456,0.9,2.7,.333,1.6,2.8,.573,.537,0.5,0.7,.771,1.2,2.7,3.8,1.1,0.5,0.4,0.8,1.9,6.5
27,2,20.8,2.7,5.9,.450,1.1,3.6,.323,1.5,2.4,.641,.547,0.4,0.6,.706,1.0,3.3,4.3,1.2,0.8,0.6,1.0,2.1,6.9
67,67,28.1,3.2,8.1,.399,1.9,5.4,.348,1.3,2.7,.503,.516,1.1,1.3,.789,0.4,4.8,5.3,1.9,1.4,0.4,0.8,2.6,9.4
37,0,9.1,1.4,3.6,.378,0.3,1.3,.255,1.1,2.4,.443,.422,0.4,0.9,.471,0.4,0.9,1.3,0.9,0.5,0.1,0.5,1.1,3.5
3,0,4.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,0,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.7,0.7
64,64,32.6,6.7,16.1,.416,1.8,5.7,.314,4.9,10.4,.472,.471,2.2,2.6,.845,0.9,4.6,5.5,5.6,1.2,0.7,3.7,3.1,17.4
64,64,33.3,5.6,11.5,.487,2.5,5.8,.422,3.2,5.7,.553,.594,1.3,1.5,.872,0.3,2.8,3.1,3.6,0.8,0.2,1.7,2.3,15.0
45,45,34.8,5.7,11.7,.485,2.2,5.6,.400,3.5,6.2,.561,.580,1.4,1.6,.877,0.4,3.0,3.4,4.0,0.8,0.2,1.9,2.2,15.0
19,19,29.9,5.5,11.1,.493,3.1,6.5,.468,2.4,4.6,.529,.630,0.9,1.1,.857,0.2,2.4,2.6,2.6,0.9,0.2,1.3,2.5,14.9
64,64,34.5,8.4,19.1,.437,4.5,11.7,.380,3.9,7.4,.527,.554,4.3,4.7,.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5
40,40,35.1,9.3,17.4,.532,0.3,1.8,.186,8.9,15.6,.571,.542,4.4,6.1,.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2
31,3,6.5,0.4,0.5,.688,0.0,0.0,0,0.4,0.5,.688,.688,0.2,0.5,.429,0.5,1.6,2.1,0.2,0.1,0.3,0.2,1.1,0.9
30,11,17.9,3.8,8.9,.423,1.6,5.0,.329,2.1,3.9,.542,.515,1.2,1.5,.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4
7,0,8.0,1.1,2.0,.571,0.3,0.6,.500,0.9,1.4,.600,.643,0.0,0.0,0,0.1,0.7,0.9,0.7,0.1,0.0,0.3,0.3,2.6
67,15,15.9,2.4,4.3,.566,0.3,0.7,.404,2.2,3.6,.597,.598,1.1,1.5,.750,1.6,4.2,5.8,0.7,0.4,0.6,1.0,2.6,6.3
1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
76,76,36.1,10.2,20.2,.504,0.7,1.9,.352,9.5,18.3,.520,.521,6.8,7.8,.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9
13,3,14.5,1.9,3.6,.532,0.0,0.4,.000,1.9,3.2,.595,.532,0.5,0.8,.545,1.3,3.2,4.5,0.2,0.4,0.7,0.5,2.5,4.3
3,0,10.3,1.0,2.7,.375,0.0,0.0,0,1.0,2.7,.375,.375,1.7,2.0,.833,1.3,2.7,4.0,0.0,0.3,0.0,0.3,2.0,3.7
58,29,21.9,4.5,9.1,.496,0.4,1.6,.247,4.1,7.5,.550,.518,1.6,2.4,.650,1.2,3.6,4.8,1.3,1.2,0.3,1.0,2.5,11.0
44,3,8.4,1.2,2.5,.473,0.7,1.5,.426,0.5,1.0,.545,.603,0.4,0.6,.731,0.7,2.0,2.8,0.8,0.3,0.3,0.5,1.2,3.5
67,51,29.6,4.6,11.0,.416,1.7,4.9,.339,2.9,6.0,.479,.493,2.9,3.8,.774,0.7,3.5,4.2,5.2,0.7,0.2,1.6,2.2,13.7
44,44,30.2,4.2,11.2,.376,1.6,5.1,.310,2.6,6.0,.432,.447,2.6,3.3,.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6
23,7,28.3,5.3,10.6,.498,1.8,4.5,.404,3.4,6.0,.568,.584,3.4,4.7,.725,0.4,2.7,3.1,3.9,0.7,0.3,1.3,1.9,15.8
42,1,23.9,2.8,8.0,.351,1.8,5.2,.339,1.0,2.8,.373,.461,1.7,2.0,.843,1.0,3.1,4.0,2.8,1.1,0.2,1.7,1.6,9.0
17,0,20.1,2.3,6.9,.331,1.2,4.4,.284,1.1,2.6,.409,.419,1.4,1.6,.852,1.1,2.5,3.5,1.7,0.6,0.2,1.6,1.5,7.2
25,1,26.6,3.2,8.7,.362,2.1,5.8,.368,1.0,3.0,.351,.484,1.9,2.2,.839,0.9,3.5,4.4,3.6,1.5,0.2,1.8,1.7,10.3
65,65,35.4,9.9,21.6,.457,3.1,8.8,.353,6.8,12.8,.528,.529,5.6,7.5,.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4
51,51,32.6,5.7,14.2,.404,2.5,7.7,.332,3.2,6.6,.487,.493,3.2,3.7,.843,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,17.2
77,40,27.4,3.6,6.9,.520,0.9,2.4,.376,2.7,4.5,.596,.585,0.7,1.0,.679,0.4,2.4,2.8,3.3,0.8,0.4,1.4,2.4,8.8
2,0,10.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0
11,0,7.7,1.0,2.1,.478,0.2,0.8,.222,0.8,1.3,.643,.522,0.5,0.8,.556,0.1,0.7,0.8,1.4,0.1,0.0,0.5,1.0,2.6
2,0,8.0,2.5,4.0,.625,0.5,1.0,.500,2.0,3.0,.667,.688,1.5,2.0,.750,1.0,2.0,3.0,0.0,1.5,1.0,1.0,0.5,7.0
9,0,12.0,0.9,2.9,.308,0.1,1.0,.111,0.8,1.9,.412,.327,0.2,0.2,1.000,0.9,1.1,2.0,1.1,0.6,0.1,0.6,0.6,2.1
4,0,7.0,0.8,1.5,.500,0.0,0.3,.000,0.8,1.3,.600,.500,0.0,0.0,0,0.3,1.5,1.8,0.8,0.0,0.3,0.3,0.5,1.5
1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,19.3,1.3,4.8,.263,0.3,1.8,.143,1.0,3.0,.333,.289,0.5,0.5,1.000,1.8,1.0,2.8,1.8,1.3,0.0,1.0,0.8,3.3
18,0,18.9,2.0,5.5,.364,0.8,2.7,.313,1.2,2.8,.412,.439,0.6,0.7,.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4
21,8,23.7,2.7,7.2,.377,0.8,3.0,.254,2.0,4.2,.466,.430,1.3,1.6,.818,0.6,2.5,3.1,4.1,0.9,0.2,1.6,2.1,7.5
5,2,18.0,2.6,6.8,.382,0.8,2.8,.286,1.8,4.0,.450,.441,2.0,2.0,1.000,0.4,2.4,2.8,1.8,1.0,0.2,0.2,1.6,8.0
16,6,25.5,2.8,7.3,.376,0.8,3.1,.245,2.0,4.3,.471,.427,1.1,1.4,.739,0.7,2.5,3.2,4.8,0.9,0.2,2.1,2.3,7.3
73,36,19.7,3.4,5.9,.570,0.0,0.0,.000,3.4,5.9,.574,.570,1.2,2.2,.524,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9
49,12,18.4,2.6,4.9,.538,0.0,0.0,.000,2.6,4.8,.542,.538,0.9,1.7,.512,2.8,6.1,8.8,2.0,1.1,0.9,1.6,2.5,6.1
24,24,22.3,5.0,8.1,.610,0.0,0.0,.000,5.0,8.1,.613,.610,1.8,3.4,.537,3.9,6.4,10.3,1.4,0.9,1.0,1.5,3.0,11.8
55,39,28.0,4.9,11.3,.432,1.7,4.6,.369,3.2,6.7,.475,.507,1.6,2.0,.804,0.7,3.4,4.1,2.1,1.0,0.2,1.6,1.7,13.1
22,7,15.5,1.8,4.9,.361,0.4,1.7,.243,1.4,3.2,.423,.403,0.8,1.0,.810,1.4,1.7,3.0,0.8,0.6,0.3,0.4,1.6,4.7
14,3,24.0,3.1,7.3,.431,0.1,0.8,.091,3.1,6.5,.473,.436,1.2,1.3,.944,0.6,2.9,3.5,5.6,1.6,0.2,2.3,2.7,7.6
55,55,37.2,10.5,20.3,.518,2.1,5.5,.383,8.4,14.8,.568,.570,6.8,7.4,.910,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9
1,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,34.3,7.6,17.3,.441,3.0,8.4,.357,4.6,8.9,.519,.527,3.1,3.9,.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3,21.3
4,0,19.8,2.3,7.5,.300,1.0,4.0,.250,1.3,3.5,.357,.367,0.3,0.3,1.000,0.5,1.0,1.5,3.5,0.5,0.0,1.3,1.0,5.8
48,23,20.6,2.3,5.6,.412,1.0,2.8,.353,1.3,2.7,.473,.502,0.3,0.4,.842,0.9,2.7,3.6,0.6,0.6,0.5,0.9,1.8,5.9
2,0,5.5,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,0,.375,0.0,0.0,0,0.0,1.5,1.5,0.0,0.0,0.0,0.5,0.0,1.5
58,28,20.2,2.1,5.3,.393,0.6,2.2,.294,1.4,3.1,.462,.453,1.0,1.4,.714,1.1,2.8,3.9,1.5,0.6,0.3,1.0,2.0,5.8
43,9,18.8,2.3,5.5,.414,1.9,4.9,.389,0.4,0.6,.615,.586,0.2,0.3,.818,0.2,1.6,1.8,0.7,0.5,0.1,0.4,1.0,6.7
68,68,33.8,9.8,19.6,.499,1.4,3.7,.371,8.4,15.9,.529,.534,9.6,11.8,.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6
7,0,8.0,1.6,3.4,.458,0.4,1.1,.375,1.1,2.3,.500,.521,0.6,0.7,.800,0.7,1.0,1.7,0.4,0.3,0.3,0.3,0.7,4.1
2,0,7.0,1.0,3.5,.286,0.5,1.0,.500,0.5,2.5,.200,.357,0.0,0.0,0,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5
2,0,14.0,3.5,5.5,.636,1.0,2.0,.500,2.5,3.5,.714,.727,2.0,2.0,1.000,1.0,1.5,2.5,0.0,0.5,0.5,0.5,2.0,10.0
3,0,4.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.3,.000,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3
71,31,17.5,3.1,5.2,.596,0.1,0.3,.217,3.0,4.9,.621,.602,1.4,1.8,.762,1.8,3.5,5.4,1.2,0.4,0.6,1.1,1.7,7.7
49,9,12.1,1.7,3.2,.528,0.0,0.2,.125,1.7,3.1,.550,.531,1.2,1.6,.747,1.3,2.7,4.0,1.0,0.3,0.6,0.9,1.2,4.7
22,22,29.5,6.2,9.6,.646,0.2,0.7,.267,6.0,9.0,.675,.656,1.8,2.3,.784,3.0,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5
11,1,5.4,0.5,1.1,.417,0.0,0.0,0,0.5,1.1,.417,.417,0.2,0.6,.286,0.6,1.5,2.1,0.2,0.0,0.5,0.3,0.3,1.1
39,18,16.7,2.4,4.7,.516,0.1,0.4,.125,2.4,4.3,.554,.522,0.4,0.6,.640,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3
30,0,5.1,1.2,1.8,.655,0.0,0.1,.500,1.2,1.8,.660,.664,0.5,0.8,.625,0.6,1.2,1.8,0.2,0.0,0.4,0.5,0.8,2.9
20,0,2.9,0.4,0.7,.500,0.1,0.1,1.000,0.3,0.7,.462,.536,0.2,0.3,.800,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0
10,0,9.4,2.9,4.1,.707,0.0,0.1,.000,2.9,4.0,.725,.707,1.1,1.9,.579,1.1,2.9,4.0,0.3,0.1,0.8,0.9,1.8,6.9
80,80,33.1,4.1,8.7,.471,2.2,5.4,.395,1.9,3.2,.599,.595,0.7,1.0,.675,1.5,3.2,4.7,1.9,1.1,0.5,1.0,2.3,11.0
15,0,4.2,0.5,1.3,.421,0.3,0.7,.500,0.2,0.6,.333,.553,0.0,0.0,0,0.1,1.0,1.1,0.3,0.0,0.0,0.1,0.3,1.4
7,0,5.0,0.3,1.3,.222,0.3,0.6,.500,0.0,0.7,.000,.333,0.0,0.0,0,0.0,1.4,1.4,0.0,0.0,0.0,0.3,0.4,0.9
8,0,3.5,0.8,1.3,.600,0.4,0.8,.500,0.4,0.5,.750,.750,0.0,0.0,0,0.3,0.6,0.9,0.6,0.0,0.0,0.0,0.1,1.9
44,5,12.2,1.6,4.2,.393,0.7,2.0,.333,1.0,2.1,.452,.475,0.3,0.5,.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1.0,4.3
75,2,17.1,3.1,7.2,.429,1.6,3.9,.414,1.5,3.3,.447,.542,1.1,1.2,.908,0.1,1.1,1.2,1.0,0.3,0.1,0.7,1.3,8.8
40,1,16.9,3.2,7.4,.432,1.6,3.8,.417,1.6,3.6,.448,.539,1.1,1.2,.898,0.1,1.5,1.6,1.0,0.4,0.1,0.8,1.1,9.1
35,1,17.4,2.9,6.9,.424,1.7,4.1,.410,1.3,2.8,.444,.545,1.0,1.1,.921,0.2,0.7,0.9,1.0,0.2,0.1,0.7,1.5,8.6
